,close,high,low,open,time,volume
84,111.0000,111.4100,108.9500,109.5400,2018-10-16,31610164
85,107.6000,109.4800,106.9468,108.9100,2018-10-15,32068103
86,109.5700,111.2400,107.1200,109.0100,2018-10-12,47742109
87,105.9100,108.9300,104.2000,105.3500,2018-10-11,63904282
88,106.1600,111.5000,105.7900,111.2400,2018-10-10,61376300
89,112.2600,113.0800,110.8000,111.1400,2018-10-09,26198594
90,110.8500,112.0300,109.3400,111.6600,2018-10-08,29640588
91,112.1300,113.1700,110.6400,112.6300,2018-10-05,29068859
92,112.7900,114.7588,111.6300,114.6100,2018-10-04,34821717
93,115.1700,116.1800,114.9300,115.4200,2018-10-03,16648018
94,115.1500,115.8400,114.4400,115.3000,2018-10-02,20787239
95,115.6100,115.6800,114.7300,114.7500,2018-10-01,18883079
96,114.3700,114.5700,113.6800,114.1900,2018-09-28,21647811
97,114.4100,114.9100,114.2000,114.7800,2018-09-27,19091299
98,113.9800,115.0550,113.7400,114.4700,2018-09-26,19352025
99,114.4500,115.1000,113.7500,114.8000,2018-09-25,22668014
